lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1546_translation,english_translation
θεός,1342,quad_token,masculine,accusative,singular,ယ ွ,1.0433764485827073,ယ ွ,God
θεός,1385,quad_token,masculine,nominative,singular,ယ ွ,1.0419448664549151,ယ ွ,God
κύριος,1343,quad_token,masculine,nominative,singular,က ဆ,1.087361754202494,က ဆ,"Lord, lord, master"
γραφή,1340,quad_token,feminine,accusative,plural,ွ ့ ၭ အ,1.0066704582519248,ွ ့ ၭ အ,Scripture
γραφή,1448,quad_token,feminine,nominative,singular,ွ ့ ၭ အ,1.1335125118295974,ွ ့ ၭ အ,Scripture
ἄγγελος,1313,quad_token,masculine,accusative,singular,ၥ ီ ၫ ့,1.2490490487560115,ၥ ီ ၫ ့,angel
ἄγγελος,1293,quad_token,masculine,nominative,plural,အ ၥ ီ ၫ,1.1203783088489716,အ ၥ ီ ၫ,angel
ἀπόστολος,1290,quad_token,masculine,nominative,plural,ၫ ့ ဖ ိ,1.1222700302453368,ၫ ့ ဖ ိ,apostle
ἐξουσία,1380,quad_token,feminine,accusative,singular,မ ၩ ့,1.1180042463946702,မ ၩ ့,authority
βλασφημία,1384,quad_token,feminine,nominative,plural,"ၬ ,  ",1.0568546689754523,"ၬ ,  ",blasphemy
βλασφημία,1314,quad_token,feminine,nominative,singular,ၧ ဒ ု ၪ,1.127865614972551,ၧ ဒ ု ၪ,blasphemy
πλοῖον,1396,quad_token,neuter,nominative,singular,  ခ ျ ံ,1.2773036529761197,  ခ ျ ံ,boat
σῶμα,1390,quad_token,neuter,nominative,plural,ွ ၪ,1.1421075400987992,ွ ၪ,body
ἄρτος,1440,quad_token,masculine,accusative,plural,က ိ ၪ,1.5922756364963162,က ိ ၪ,bread
ἄρτος,1458,quad_token,masculine,accusative,singular,က ိ ၪ,1.3934936659101131,က ိ ၪ,bread
ἄρτος,1356,quad_token,masculine,nominative,plural,က ိ ၪ အ,1.2572910020331385,က ိ ၪ အ,bread
ἄρτος,1285,quad_token,masculine,nominative,singular,က ိ ၪ,1.1042968103736268,က ိ ၪ,bread
ἀδελφός,1431,quad_token,masculine,accusative,plural,ဖ ု,1.1055174595803146,ဖ ု,brother
ἀδελφός,1330,quad_token,masculine,nominative,plural,ဖ ု ဝ,1.008310775286722,ဖ ု ဝ,brother
ἀδελφός,1400,quad_token,masculine,nominative,singular,ဖ ု,1.0430865699251413,ဖ ု,brother
στῆθος,1422,quad_token,neuter,accusative,singular,ၥ ၭ န ၫ,1.0206272886137342,ၥ ၭ န ၫ,"chest, breast"
ἀρχιερεύς,1404,quad_token,masculine,accusative,plural,ဆ ၧ အ ဒ,1.0188891205236976,ဆ ၧ အ ဒ,chief priest
ἀρχιερεύς,1299,quad_token,masculine,accusative,singular,ု ဆ ၧ အ,1.1455015414115697,ု ဆ ၧ အ,chief priest
ἀρχιερεύς,1407,quad_token,masculine,nominative,singular,ၦ လ ု,1.0387629044021338,ၦ လ ု,chief priest
τέκνον,1453,quad_token,neuter,accusative,plural,ဖ ိ ၪ,1.0689574192330609,ဖ ိ ၪ,child
τέκνον,1369,quad_token,neuter,accusative,singular,ၩ အ မ ိ,1.0648725847121463,ၩ အ မ ိ,child
τέκνον,1272,quad_token,neuter,nominative,plural,ၩ အ မ ိ,1.0686525124058883,ၩ အ မ ိ,child
παιδίον,1319,quad_token,neuter,accusative,singular,ိ ၪ ၥ ၪ,1.0314624197655045,ိ ၪ ၥ ၪ,child
παιδίον,1365,quad_token,neuter,nominative,plural,ဖ ိ ၪ ၥ,1.2099310995313914,ဖ ိ ၪ ၥ,child
παιδίον,1287,quad_token,neuter,nominative,singular,ိ ၪ ၥ ၪ,1.0330649348210992,ိ ၪ ၥ ၪ,child
πόλις,1303,quad_token,feminine,accusative,singular,ဒ ိ ၩ ့,1.0207555805982058,ဒ ိ ၩ ့,city
πύλη,1383,quad_token,feminine,nominative,singular,ရ ၫ ့ မ,1.0595545022300916,ရ ၫ ့ မ,city gate
χιτών,1331,quad_token,masculine,accusative,plural,  ဆ ဲ ၫ,1.0263476585527538,  ဆ ဲ ၫ,"clothing, undergarments"
ἱμάτιον,1341,quad_token,neuter,accusative,plural,က ီ ၩ,1.0603086359031952,က ီ ၩ,coat
ἐντολή,1311,quad_token,feminine,accusative,plural,ူ ၬ လ ဖ,1.14383033732284,ူ ၬ လ ဖ,commandment
συνέδριον,1442,quad_token,neuter,accusative,plural,ၪ ့ စ ့,1.0595673971889907,ၪ ့ စ ့,council
συνέδριον,1296,quad_token,neuter,accusative,singular,ၪ က ိ ၩ,1.0363547389668848,ၪ က ိ ၩ,council
χώρα,1423,quad_token,feminine,accusative,singular,ခ း,1.4592809227150167,ခ း,"country, countryside"
θυγάτηρ,1439,quad_token,feminine,nominative,singular,ိ ၪ မ ု,1.028641570891297,ိ ၪ မ ု,daughter
ἡμέρα,1309,quad_token,feminine,accusative,plural,န ံ ၩ,1.595554435274913,န ံ ၩ,day
ἡμέρα,1315,quad_token,feminine,accusative,singular,န ံ ၩ,1.2130475556341689,န ံ ၩ,day
ἡμέρα,1267,quad_token,feminine,nominative,plural,န ံ ၩ,1.5231568253854004,န ံ ၩ,day
ἡμέρα,1305,quad_token,feminine,nominative,singular,န ံ,1.052705816914044,န ံ,day
δαιμόνιον,1281,quad_token,neuter,accusative,plural,န ၫ ့ ထ,1.0919934652470151,န ၫ ့ ထ,demon
δαιμόνιον,1450,quad_token,neuter,accusative,singular,ဆ ၧ န ၪ,1.0070101082657363,ဆ ၧ န ၪ,demon
δαιμόνιον,1377,quad_token,neuter,nominative,plural,ဆ ၧ န ၪ,1.0059083788120018,ဆ ၧ န ၪ,demon
δαιμόνιον,1364,quad_token,neuter,nominative,singular,ဆ ၧ န ၪ,1.0061429309104568,ဆ ၧ န ၪ,demon
δηνάριον,1358,quad_token,neuter,accusative,singular,ဒ န,1.350385074129552,ဒ န,denarius (about a day's wages)
μαθητής,1367,quad_token,masculine,accusative,plural,အ ထ ံ ၩ,1.0139426567786685,အ ထ ံ ၩ,disciple
μαθητής,1454,quad_token,masculine,accusative,singular,အ ဲ ၪ ဝ,1.141973674689286,အ ဲ ၪ ဝ,disciple
μαθητής,1415,quad_token,masculine,nominative,plural,ထ ံ ၩ,1.0456561406709606,ထ ံ ၩ,disciple
μαθητής,1452,quad_token,masculine,nominative,singular,အ ဖ ျ ဲ,1.017661130666826,အ ဖ ျ ဲ,disciple
οὖς,1352,quad_token,neuter,accusative,plural,ဲ အ န ါ,1.0220204894243683,ဲ အ န ါ,ear
σεισμός,1301,quad_token,masculine,nominative,singular,-   ယ ိ,1.2399993827273108,-   ယ ိ,"earthquakes, storm"
αἰών,1432,quad_token,masculine,accusative,singular,း ဆ ိ ၭ,1.0310779782353752,း ဆ ိ ၭ,eternity
ὀφθαλμός,1277,quad_token,masculine,accusative,plural,မ ့ ၬ ၥ,1.0232766695245443,မ ့ ၬ ၥ,eye
ὀφθαλμός,1302,quad_token,masculine,nominative,plural,မ ့ ၬ,1.101464284281748,မ ့ ၬ,eye
πρόσωπον,1334,quad_token,neuter,accusative,plural,ၥ ံ ၫ  ,1.375191351202458,ၥ ံ ၫ  ,face
πρόσωπον,1375,quad_token,neuter,accusative,singular,ီ ၩ တ ၭ,1.266267543043596,ီ ၩ တ ၭ,face
πατήρ,1433,quad_token,masculine,accusative,singular,ဖ ါ,3.3963531358706462,ဖ ါ,father
πατήρ,1438,quad_token,masculine,nominative,plural,ဖ ါ,1.014639845473011,ဖ ါ,father
πατήρ,1370,quad_token,masculine,nominative,singular,ဖ ါ,3.0240562282021464,ဖ ါ,father
ἀγρός,1286,quad_token,masculine,accusative,singular,ဝ ၩ ့,1.0584063339632366,ဝ ၩ ့,field
ἰχθύς,1354,quad_token,masculine,accusative,plural,လ ီ ၪ ့,1.0100630334583138,လ ီ ၪ ့,fish
